State,SegmentClass,Phoneme,Language_Count
Himachal Pradesh,consonant,l̪,1
Himachal Pradesh,consonant,m̤,1
Himachal Pradesh,consonant,n̤,1
Himachal Pradesh,consonant,n̪,1
Himachal Pradesh,consonant,r̤,1
Himachal Pradesh,consonant,s̪,1
Himachal Pradesh,consonant,t,1
Himachal Pradesh,consonant,tɕ,1
Himachal Pradesh,consonant,tɕʰ,1
Himachal Pradesh,consonant,tʰ,1
Himachal Pradesh,consonant,t̠ʃ,1
Himachal Pradesh,consonant,t̠ʃʰ,1
Himachal Pradesh,consonant,v,1
Himachal Pradesh,consonant,z̪,1
Himachal Pradesh,consonant,ç,1
Himachal Pradesh,consonant,ɖ̤,1
Himachal Pradesh,consonant,ɟ̤,1
Himachal Pradesh,consonant,ɡ̤,1
