antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'õ', 'ã'})",frozenset({'ĩ'}),0.10759027266028003,0.18828297715549006,0.10058953574060428,0.9349315068493151,4.965565772189905,1.0,0.08033211889115582,12.47480898266301,0.8948950856465306,0.5150943396226416,0.919838451924213,0.7345890410958904
frozenset({'ẽ'}),"frozenset({'ã', 'i'})",0.11532792925571113,0.18017686072218128,0.10316875460574797,0.8945686900958466,4.964947699223165,1.0,0.08238933035886413,7.775898260422944,0.9026938180520021,0.5363984674329502,0.8713974943461248,0.7335829135550808
"frozenset({'ĩ', 'i'})",frozenset({'ũ'}),0.18828297715549006,0.1735445836403832,0.16212232866617537,0.8610567514677103,4.961588160261924,1.0,0.12944683778915406,5.948150954362874,0.9836576156480831,0.8118081180811807,0.8318805276341354,0.8976196708506279
frozenset({'ĩ'}),frozenset({'ũ'}),0.18828297715549006,0.1735445836403832,0.16212232866617537,0.8610567514677103,4.961588160261924,1.0,0.12944683778915406,5.948150954362874,0.9836576156480831,0.8118081180811807,0.8318805276341354,0.8976196708506279
frozenset({'ũ'}),frozenset({'ĩ'}),0.1735445836403832,0.18828297715549006,0.16212232866617537,0.9341825902335456,4.961588160261923,1.0,0.12944683778915406,12.332861863218183,0.9661157945932799,0.8118081180811807,0.9189158192890797,0.8976196708506279
frozenset({'ũ'}),"frozenset({'ĩ', 'i'})",0.1735445836403832,0.18828297715549006,0.16212232866617537,0.9341825902335456,4.961588160261923,1.0,0.12944683778915406,12.332861863218183,0.9661157945932799,0.8118081180811807,0.9189158192890797,0.8976196708506279
"frozenset({'ũ', 'u'})",frozenset({'ĩ'}),0.17317612380250552,0.18828297715549006,0.1617538688282977,0.9340425531914893,4.960844401882,1.0,0.12914775266651424,12.306677443126434,0.9656487154812226,0.8099630996309961,0.9187432997556523,0.8965711787483865
frozenset({'ĩ'}),"frozenset({'ũ', 'u'})",0.18828297715549006,0.17317612380250552,0.1617538688282977,0.8590998043052837,4.9608444018819995,1.0,0.12914775266651424,5.868152788012768,0.9836203892600377,0.8099630996309961,0.8295886224975669,0.8965711787483865
"frozenset({'ĩ', 'a'})",frozenset({'ũ'}),0.17686072218128224,0.1735445836403832,0.15217391304347827,0.8604166666666667,4.957899858457184,1.0,0.12148069265019015,5.920874624665914,0.9698257829147167,0.767657992565056,0.8311060335859712,0.8686372080679405
frozenset({'ũ'}),"frozenset({'ĩ', 'a'})",0.1735445836403832,0.17686072218128224,0.15217391304347827,0.8768577494692145,4.957899858457184,1.0,0.12148069265019015,6.684458618148554,0.9659343731749784,0.767657992565056,0.8503992533838174,0.8686372080679405
